population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toute la population,6,Incidence,20,Viêt Nam,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,25.499404049930003,32.63150299149,18.94578186943
1,Toute la population,6,Incidence,85,Israël,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001853524649505,0.0002185032069955,0.0001580833147579
1,Toute la population,6,Incidence,85,Israël,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,84.7785771987,97.53017431865,73.71218813585
1,Toute la population,6,Incidence,376,Îles Mariannes du Nord,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001296334359358,0.0001772902353473,9.45143438986e-05
1,Toute la population,6,Incidence,376,Îles Mariannes du Nord,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,59.16104390507999,79.55498936219,42.57002317696
1,Toute la population,6,Incidence,79,Finlande,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0002336311198684,0.000266067470872,0.0002063168419843
1,Toute la population,6,Incidence,79,Finlande,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,95.36321557312999,105.81033646607999,86.44744652611
1,Toute la population,6,Incidence,93,Suède,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0002084222742426,0.0002314340699175,0.0001842307416424
1,Toute la population,6,Incidence,93,Suède,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,86.59537002252999,93.67244138049,79.01396694156
1,Toute la population,6,Incidence,99,Uruguay,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001433103034307,0.0001628595880405,0.0001233960725592
1,Toute la population,6,Incidence,99,Uruguay,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,72.90079302121,81.30372870588,65.09835234459
1,Toute la population,6,Incidence,71,Australie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001772319842996,0.0001963236704549,0.0001566816153788
1,Toute la population,6,Incidence,71,Australie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,93.26304364737,102.01040255881,84.73608148896001
1,Toute la population,6,Incidence,146,Liban,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001259323381887,0.0001610165897611,9.87172338131e-05
1,Toute la population,6,Incidence,146,Liban,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,49.799672065829995,62.44128749944,38.6093268702
1,Toute la population,6,Incidence,178,L’Érythrée,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,5.50293823576e-05,7.53880487137e-05,3.77100614901e-05
1,Toute la population,6,Incidence,178,L’Érythrée,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,26.89633998369,36.39777901333,18.60529869074
1,Toute la population,6,Incidence,208,La Guinée,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,3.63682915949e-05,5.29402540152e-05,2.54196742319e-05
1,Toute la population,6,Incidence,208,La Guinée,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,18.9053757004,27.05613165009,13.614199205030001
1,Toute la population,6,Incidence,112,La Grenade,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001313314049923,0.0001622921030856,0.0001058341773297
1,Toute la population,6,Incidence,112,La Grenade,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,58.29492939003,70.91199044317,46.74213500401
1,Toute la population,6,Incidence,74,Andorre,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0002247800578718,0.0003050977075098,0.0001660668296193
1,Toute la population,6,Incidence,74,Andorre,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,94.42441497128,126.57320040131,68.74927196759
1,Toute la population,6,Incidence,89,Pays-Bas,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0002439818879984,0.0002751229995022,0.0002156841695806
1,Toute la population,6,Incidence,89,Pays-Bas,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,107.43730057284999,118.18779242176001,96.89125488867
1,Toute la population,6,Incidence,87,Luxembourg,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0002386294004119,0.0002912710574299,0.0001938199335083
1,Toute la population,6,Incidence,87,Luxembourg,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,102.15647405440001,121.57544651675,84.13381051456
1,Toute la population,6,Incidence,34,Azerbaïdjan,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001048458444552,0.0001338959269314,8.11349173084e-05
1,Toute la population,6,Incidence,34,Azerbaïdjan,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,31.9220000109,40.131775123189996,25.247002337980003
1,Toute la population,6,Incidence,10,Cambodge,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,5.58654568881e-05,8.20605480065e-05,3.93870288358e-05
1,Toute la population,6,Incidence,10,Cambodge,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,22.231658590880002,33.16291146804,15.66168760709
1,Toute la population,6,Incidence,48,Hongrie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001858899101247,0.0002111675967771,0.0001619118949869
1,Toute la population,6,Incidence,48,Hongrie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,63.35067541892,71.51373393313,56.08896937405
1,Toute la population,6,Incidence,139,Algérie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,7.75162099857e-05,0.0001111061526964,5.65830217451e-05
1,Toute la population,6,Incidence,139,Algérie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,29.65334091325,41.87569737644,21.67518242121
1,Toute la population,6,Incidence,37,Kirghizistan,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,9.37240012022e-05,0.0001084778720087,7.93535552637e-05
1,Toute la population,6,Incidence,37,Kirghizistan,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,26.999300759520004,30.76576044434,23.574101982880002
